"Summit"	"Elevation"	"Latitude"	"Longitude"	"EleSrc"	"Prominence"	"Saddle"	"IsolationKm"
"Studniční vrch"	991.6	50.2579878	17.1665366	osm	417	579	7.73
"Svrčinník"	1313.0	48.8051274	18.9919733	osm	416	900	8.17
"Zöberer Höhe"	1486.0	47.5068298	15.2817445	osm	415	1061	5.98
"Racherin"	3092.0	47.0813614	12.7939209	osm	415	2664	3.13
"Kopa"	1188.0	49.1370861	19.1378288	osm	415	761	5.22
"Turecká"	954.0	48.6850703	20.4789573	osm	413	541	7.58
"Nördliche Augstenspitze"	3228.0	46.864624	10.203855	osm	412	2797	3.46
"Edlenkopf"	2923.0	47.1364882	12.9265842	osm	412	2482	4.05
"Zadnjiški Ozebnik"	2083.0	46.3690894	13.782333	osm	412	1645	1.32
"Suchý vrch"	1029.0	48.8410452	18.4194548	osm	411	615	7.66
"Rötelstein"	2247.0	47.4574447	13.5546683	osm	410	1823	2.17
"Rosenspitze"	3060.0	46.9884593	12.2543738	osm	410	2623	2.24
"Hochglocker"	1590.0	47.3475011	13.1394583	osm	410	1169	3.71
"Zvolen"	1402.0	48.8906146	19.22327	osm	410	983	6.21
"Plassen"	1953.0	47.5701177	13.6058893	osm	409	1510	4.08
"Wildalpe"	1523.0	47.7536408	15.4554756	osm	409	1103	3.06
"Sedlo"	727.0	50.5932606	14.2639348	osm	409	314	23.61
"Lysina"	978.0	50.0225407	12.6514975	osm	409	577	25.0
"Veľký Rozsutec"	1610.0	49.2315162	19.0985362	osm	409	1176	2.24
"Budín"	1221.0	49.3438922	19.4524661	osm	409	808	12.97
"Rupprechtseck"	2591.0	47.2398681	14.0013665	osm	408	2165	10.35
"Gartner Wand"	2377.0	47.385075	10.8206962	osm	407	1947	4.3
"Lašček"	1071.0	46.0790514	13.772968	osm	407	653	5.82
"Goldeck"	2142.0	46.75884	13.4588687	osm	406	1724	2.87
"Kuchalm"	1765.0	47.0335021	14.1908388	osm	406	1352	4.29
"Vlčí štít"	845.0	48.6476906	20.4173473	osm	406	437	5.44
"Steinberg"	1457.0	47.7857358	13.8933533	osm	405	1035	4.88
"Larchberg"	1412.0	47.5730797	12.0176517	osm	405	995	2.08
"Mrzlica"	1122.0	46.1875157	15.1074402	osm	405	701	7.07
"Planinica"	1170.0	46.0466747	13.8849101	osm	405	767	5.35
"Hohe Schrott"	1839.0	47.7276212	13.7112611	osm	404	1421	5.27
"Keprník"	1423.0	50.1709405	17.1164418	osm	403	1012	12.22
